م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4169,21.35899,39.948476,صدم مركبة متحركة,وفاة,null
4168,21.362463,39.876396,صدم مركبة متحركة,وفاة,null
4167,22.30888,39.763683,صدم مركبة متحركة,اصابة,null
4166,22.08104,39.18115,صدم مركبة متحركة,اصابة,null
4165,19.129204,41.07659,صدم مركبة متحركة,اصابة,null
4164,19.1766875,41.0441875,اخرى,اصابة,null
4163,21.417198,39.827873,دهس مشاه,اصابة,null
4162,21.55118,40.15542,صدم جسم ثابت اخر,اصابة,null
4161,21.427879,39.810104,دهس مشاه,اصابة,null
4160,21.4803771,39.7627301,صدم مركبة متحركة,وفاة,null
4159,21.333628,39.952408,صدم مركبة متحركة,اصابة,null
4158,22.357359,39.32576,انقلاب مركبة,اصابة,null
4157,21.402596,39.817654,دهس مشاه,اصابة,null
4156,21.347641,39.795025,دهس مشاه,وفاة,null
4155,21.5716,39.21164,انقلاب مركبة,اصابة,null
4154,21.40501,39.49563,صدم مركبة متحركة,اصابة,null
4153,21.6803041814084,39.2082467407838,دهس مشاه,اصابة,null
4152,21.4359167,39.8566667,دهس مشاه,اصابة,null
4151,21.389145,39.84293,صدم عمود كهرباء,اصابة,null
4150,22.3499722,39.9229478,صدم جسم ثابت اخر,اصابة,null
4149,19.531181,41.704811,صدم مركبة متحركة,اصابة,null
4148,21.998335,39.680047,دهس مشاه,اصابة,null
4147,19.734701,40.850887,صدم مركبة متحركة,اصابة,null
4146,21.726936,40.13287,انقلاب مركبة,اصابة,null
4145,21.59266,40.4077,انقلاب مركبة,اصابة,null
4144,21.33171,39.46279,صدم مركبة متحركة,اصابة,null
4143,21.1205,39.5854,صدم مركبة متحركة,اصابة,null
4142,20.422443,39.883934,صدم مركبة متحركة,وفاة,null
4141,21.318508,39.691578,صدم مركبة متحركة,وفاة,null
4140,18.766617,41.36063,صدم مركبة متحركة,اصابة,null
4139,21.36573,39.40575,صدم حاجز جانبي,اصابة,null
4138,21.50457,39.23395,انقلاب مركبة,وفاة,null
4137,22.6347,40.217,صدم مركبة متحركة,وفاة,null
4136,18.0787583,41.361639,صدم مركبة متحركة,اصابة,null
4135,18.98391,41.28655,دهس مشاه,اصابة,null
4134,19.03641,41.24764,صدم مركبة متحركة,وفاة,null
4133,19.12737,41.08268,دهس مشاه,اصابة,null
4132,21.424185,39.813862,دهس مشاه,اصابة,null
4131,21.504322,39.739304,صدم مركبة متحركة,وفاة,null
4130,20.033926,40.517921,انقلاب مركبة,وفاة,null
4129,19.3534,41.385,صدم مركبة متحركة,اصابة,null
4128,22.12253,39.15215,صدم مركبة متحركة,اصابة,null
4127,19.703352,40.888342,صدم عمود كهرباء,اصابة,null
4126,21.427725,39.810246,دهس مشاه,وفاة,null
4125,21.4168056,39.7452778,صدم مركبة متحركة,وفاة,null
4124,21.4017559,39.798316,دهس مشاه,اصابة,null
4123,22.671826,39.672157,انقلاب مركبة,اصابة,null
4122,21.363918,39.884701,انقلاب مركبة,وفاة,null
4121,20.701958,39.750965,صدم مركبة متحركة,وفاة,null
4120,21.561966,39.78117,صدم مركبة متحركة,اصابة,null
4119,21.401691,39.863167,دهس مشاه,وفاة,null
4118,22.08504,39.34188,صدم حاجز جانبي,وفاة,null
4117,21.53336,40.26217,صدم مركبة متحركة,اصابة,null
4116,21.435425,39.82946,دهس مشاه,اصابة,null
4115,21.431174,39.82954,دهس مشاه,اصابة,null
4114,21.577728,39.813118,دهس مشاه,وفاة,null
4113,22.758665,39.772472,صدم حاجز جانبي,اصابة,null
4112,21.529025,39.779899,دهس مشاه,اصابة,null
4111,21.3584043,39.8675092,صدم مركبة متحركة,اصابة,null
