grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.294466_39.907538,21.294466403162055,39.907537607286365,1,2.0,21.295889,39.907734,1.2233417877328472,Medium
21.294466_39.965431,21.294466403162055,39.965430553525174,2,2.5,21.295848149999998,39.9675377,2.144308089730503,High
21.298958_39.362379,21.29895795903701,39.36237903020424,1,2.0,21.30235,39.36301,1.4983475163652182,Medium
21.298958_39.468516,21.29895795903701,39.46851609830872,2,2.5,21.30115,39.471815,2.0909677403959717,High
21.298958_39.685615,21.29895795903701,39.68561464670426,1,2.0,21.300535,39.686921,1.0875883097906325,Low
21.298958_39.719386,21.29895795903701,39.71938553201023,1,3.0,21.303133,39.72015,1.0240688305122374,Low
21.298958_39.897889,21.29895795903701,39.89788878291323,3,2.0,21.302419666666665,39.89989466666667,1.1667338768069384,Medium
21.298958_39.979904,21.29895795903701,39.979903790084876,1,2.0,21.302562,39.980262,1.0611115178355575,Low
21.298958_39.989553,21.29895795903701,39.98955261445801,1,2.0,21.301195,39.993454,1.2187490277591282,Medium
21.30345_39.362379,21.303449514911964,39.36237903020424,3,2.0,21.303636666666666,39.364603333333335,2.161101612869599,High
21.30345_39.367203,21.303449514911964,39.3672034423908,1,2.0,21.3058,39.37142,1.154402477936441,Medium
21.30345_39.468516,21.303449514911964,39.46851609830872,3,2.6666666666666665,21.305453333333332,39.47191333333333,3.4776008297258296,High
21.30345_39.671141,21.303449514911964,39.67114141014456,1,2.0,21.3037533,39.6750041,1.2400459146815457,Medium
21.30345_39.675966,21.303449514911964,39.67596582233112,1,2.0,21.306662,39.67902,1.2184621973916878,Medium
21.30345_39.68079,21.303449514911964,39.68079023451769,1,3.0,21.30474703,39.6846692,1.0040688305122374,Low
21.30345_39.685615,21.303449514911964,39.68561464670426,1,2.0,21.306005,39.685791,1.189415080721834,Medium
21.30345_39.695263,21.303449514911964,39.69526347107739,2,2.5,21.3044985,39.6980645,2.3065101758609265,High
21.30345_39.796576,21.303449514911964,39.79657612699531,1,2.0,21.305536,39.7996822,1.1003940315058962,Low
21.307941_39.372028,21.30794107078692,39.37202785457737,1,2.0,21.31008,39.37475,1.152884620793584,Medium
21.307941_39.478165,21.30794107078692,39.478164922681856,2,2.0,21.31035,39.4828,1.2204188579611115,Medium
21.307941_39.671141,21.30794107078692,39.67114141014456,1,3.0,21.310757,39.674831,1.0040688305122374,Low
21.307941_39.68079,21.30794107078692,39.68079023451769,1,2.0,21.311052,39.682743,1.3629661656456558,Medium
21.307941_39.685615,21.30794107078692,39.68561464670426,1,2.0,21.309278,39.686005,1.146526191832945,Medium
21.307941_39.690439,21.30794107078692,39.690439058890824,1,3.0,21.309103,39.690609,1.0040688305122374,Low
